SPECIES	SITE_ID	YEAR	SINDEX	SCHEME
Anthocharis cardamines	Coll	2019	0	uBMS
Anthocharis cardamines	Coll	2020	0	uBMS
Anthocharis cardamines	Coll	2022	0	uBMS
Anthocharis cardamines	Car	2023	0	uBMS
Anthocharis cardamines	Car	2024	0	uBMS
Anthocharis cardamines	Car	2018	0	uBMS
Anthocharis cardamines	Car	2025	0	uBMS
Anthocharis cardamines	Car	2019	0	uBMS
Anthocharis cardamines	Car	2020	0	uBMS
Anthocharis cardamines	Car	2021	0	uBMS
Anthocharis cardamines	Car	2022	0	uBMS
Anthocharis cardamines	Peg	2023	0	uBMS
Anthocharis cardamines	Peg	2024	0	uBMS
Anthocharis cardamines	Peg	2018	0	uBMS
Anthocharis cardamines	Peg	2025	0	uBMS
Anthocharis cardamines	Peg	2019	0	uBMS
Anthocharis cardamines	Peg	2020	0	uBMS
Anthocharis cardamines	Peg	2021	0	uBMS
Anthocharis cardamines	Peg	2022	0	uBMS
Anthocharis cardamines	Cer	2023	0	uBMS
Anthocharis cardamines	Cer	2024	0	uBMS
Anthocharis cardamines	Cer	2018	0	uBMS
Anthocharis cardamines	Cer	2025	0	uBMS
Anthocharis cardamines	Cer	2019	0	uBMS
Anthocharis cardamines	Cer	2020	0	uBMS
Anthocharis cardamines	Cer	2022	0	uBMS
Anthocharis cardamines	Nord	2023	0	uBMS
Anthocharis cardamines	Nord	2024	0	uBMS
Anthocharis cardamines	Nord	2018	0	uBMS
Anthocharis cardamines	Nord	2025	0	uBMS
Anthocharis cardamines	Nord	2019	0	uBMS
Anthocharis cardamines	Nord	2020	0	uBMS
Anthocharis cardamines	Nord	2021	0	uBMS
Anthocharis cardamines	Nord	2022	0	uBMS
Anthocharis cardamines	Ped	2023	0	uBMS
Anthocharis cardamines	Ped	2024	0	uBMS
Anthocharis cardamines	Ped	2018	0	uBMS
Anthocharis cardamines	Ped	2025	0	uBMS
Anthocharis cardamines	Ped	2019	0	uBMS
Anthocharis cardamines	Ped	2020	0	uBMS
Anthocharis cardamines	Ped	2022	0	uBMS
Anthocharis cardamines	Gau	2023	0	uBMS
Anthocharis cardamines	Gau	2024	0	uBMS
Anthocharis cardamines	Gau	2018	0	uBMS
Anthocharis cardamines	Gau	2025	0	uBMS
Anthocharis cardamines	Gau	2019	0	uBMS
Anthocharis cardamines	Gau	2020	0	uBMS
Anthocharis cardamines	Gau	2021	0	uBMS
Anthocharis cardamines	Gau	2022	0	uBMS
Anthocharis cardamines	Nou	2023	0	uBMS
Anthocharis cardamines	Nou	2024	0	uBMS
Anthocharis cardamines	Nou	2018	0	uBMS
Anthocharis cardamines	Nou	2025	0	uBMS
Anthocharis cardamines	Nou	2019	0	uBMS
Anthocharis cardamines	Nou	2020	0	uBMS
Anthocharis cardamines	Nou	2021	0	uBMS
Anthocharis cardamines	Nou	2022	0	uBMS
Anthocharis cardamines	Bros	2023	0	uBMS
Anthocharis cardamines	Bros	2024	0	uBMS
Anthocharis cardamines	Bros	2018	0	uBMS
Anthocharis cardamines	Bros	2019	0	uBMS
Anthocharis cardamines	Bros	2020	0	uBMS
Anthocharis cardamines	Bros	2021	0	uBMS
Anthocharis cardamines	Bros	2022	0	uBMS
Anthocharis cardamines	Gue	2023	0	uBMS
Anthocharis cardamines	Gue	2024	0	uBMS
Anthocharis cardamines	Gue	2018	4.23750303	uBMS
Anthocharis cardamines	Gue	2019	0	uBMS
Anthocharis cardamines	Gue	2020	0	uBMS
Anthocharis cardamines	Gue	2021	0	uBMS
Anthocharis cardamines	Gue	2022	0	uBMS
Anthocharis cardamines	Dia	2023	0	uBMS
Anthocharis cardamines	Dia	2024	0	uBMS
Anthocharis cardamines	Dia	2018	0	uBMS
Anthocharis cardamines	Dia	2019	0	uBMS
Anthocharis cardamines	Dia	2020	0	uBMS
Anthocharis cardamines	Dia	2021	0	uBMS
Anthocharis cardamines	Dia	2022	0	uBMS
Anthocharis cardamines	Pei	2023	0	uBMS
Anthocharis cardamines	Pei	2024	0	uBMS
Anthocharis cardamines	Pei	2018	0	uBMS
Anthocharis cardamines	Pei	2019	0	uBMS
Anthocharis cardamines	Pei	2020	0	uBMS
Anthocharis cardamines	Pei	2021	0	uBMS
Anthocharis cardamines	Mar	2023	0	uBMS
Anthocharis cardamines	Mar	2024	0	uBMS
Anthocharis cardamines	Mar	2018	0	uBMS
Anthocharis cardamines	Mar	2019	0	uBMS
Anthocharis cardamines	Mar	2020	0	uBMS
Anthocharis cardamines	Mar	2021	0	uBMS
Anthocharis cardamines	Mar	2022	0	uBMS
Anthocharis cardamines	Gui	2023	0	uBMS
Anthocharis cardamines	Gui	2024	0	uBMS
Anthocharis cardamines	Gui	2018	0	uBMS
Anthocharis cardamines	Gui	2025	0	uBMS
Anthocharis cardamines	Gui	2019	0	uBMS
Anthocharis cardamines	Gui	2020	4.23750303	uBMS
Anthocharis cardamines	Gui	2021	0	uBMS
Anthocharis cardamines	Gui	2022	0	uBMS
Anthocharis cardamines	Bes	2023	0	uBMS
Anthocharis cardamines	Bes	2024	0	uBMS
Anthocharis cardamines	Bes	2018	0	uBMS
Anthocharis cardamines	Bes	2025	0	uBMS
Anthocharis cardamines	Bes	2019	0	uBMS
Anthocharis cardamines	Bes	2020	0	uBMS
Anthocharis cardamines	Bes	2021	0	uBMS
Anthocharis cardamines	Aig	2023	0	uBMS
Anthocharis cardamines	Aig	2018	0	uBMS
Anthocharis cardamines	Aig	2019	0	uBMS
Anthocharis cardamines	Aig	2020	0	uBMS
Anthocharis cardamines	Aig	2021	0	uBMS
Anthocharis cardamines	Aig	2022	0	uBMS
Anthocharis cardamines	Tpa	2023	0	uBMS
Anthocharis cardamines	Tpa	2022	0	uBMS
Anthocharis cardamines	Tri	2023	0	uBMS
Anthocharis cardamines	Tri	2019	0	uBMS
Anthocharis cardamines	Tri	2020	0	uBMS
Anthocharis cardamines	Tri	2021	0	uBMS
Anthocharis cardamines	Tri	2022	0	uBMS
Apatura ilia	Clot	2023	0	uBMS
Apatura ilia	Clot	2024	0	uBMS
Apatura ilia	Clot	2018	0	uBMS
Apatura ilia	Clot	2025	0	uBMS
Apatura ilia	Clot	2019	0	uBMS
Apatura ilia	Clot	2020	1.379870529	uBMS
Apatura ilia	Clot	2021	0	uBMS
Apatura ilia	Clot	2022	0	uBMS
Apatura ilia	Heb	2023	0	uBMS
Apatura ilia	Heb	2024	0	uBMS
Apatura ilia	Heb	2018	0	uBMS
Apatura ilia	Heb	2019	0	uBMS
Apatura ilia	Heb	2020	0	uBMS
Apatura ilia	Heb	2021	0	uBMS
Apatura ilia	Heb	2022	0	uBMS
Apatura ilia	Put	2023	0	uBMS
Apatura ilia	Put	2024	0	uBMS
Apatura ilia	Put	2025	0	uBMS
Apatura ilia	Put	2019	0	uBMS
Apatura ilia	Put	2020	0	uBMS
Apatura ilia	Put	2021	0	uBMS
Apatura ilia	Put	2022	0	uBMS
Apatura ilia	Heu	2023	0	uBMS
Apatura ilia	Heu	2024	0	uBMS
Apatura ilia	Heu	2018	0	uBMS
Apatura ilia	Heu	2025	0	uBMS
Apatura ilia	Heu	2019	0	uBMS
Apatura ilia	Heu	2020	0	uBMS
Apatura ilia	Heu	2021	0	uBMS
Apatura ilia	Heu	2022	0	uBMS
Apatura ilia	Lab	2023	0	uBMS
Apatura ilia	Lab	2024	0	uBMS
Apatura ilia	Lab	2018	0	uBMS
Apatura ilia	Lab	2025	0	uBMS
Apatura ilia	Lab	2020	0	uBMS
Apatura ilia	Lab	2022	0	uBMS
Apatura ilia	Mat	2023	0	uBMS
Apatura ilia	Mat	2024	0	uBMS
Apatura ilia	Mat	2018	0	uBMS
Apatura ilia	Mat	2025	0	uBMS
Apatura ilia	Mat	2019	0	uBMS
Apatura ilia	Mat	2020	0	uBMS
Apatura ilia	Mat	2021	0	uBMS
Apatura ilia	Mat	2022	0	uBMS
Apatura ilia	Ore	2023	0	uBMS
Apatura ilia	Ore	2024	0	uBMS
Apatura ilia	Ore	2018	0	uBMS
Apatura ilia	Ore	2020	0	uBMS
Apatura ilia	Ore	2021	0	uBMS
Apatura ilia	Ore	2022	0	uBMS
Apatura ilia	Pla	2023	0	uBMS
Apatura ilia	Pla	2024	0	uBMS
Apatura ilia	Pla	2025	0	uBMS
Apatura ilia	Pla	2020	0	uBMS
Apatura ilia	Pla	2021	0	uBMS
Apatura ilia	Pla	2022	0	uBMS
Apatura ilia	Ciu	2023	0	uBMS
Apatura ilia	Ciu	2024	0	uBMS
Apatura ilia	Ciu	2018	0	uBMS
Apatura ilia	Ciu	2025	0	uBMS
Apatura ilia	Ciu	2019	0	uBMS
Apatura ilia	Ciu	2020	0	uBMS
Apatura ilia	Ciu	2021	0	uBMS
Apatura ilia	Ciu	2022	0	uBMS
Apatura ilia	Glo	2023	0	uBMS
Apatura ilia	Glo	2024	0	uBMS
Apatura ilia	Glo	2025	0	uBMS
Apatura ilia	Glo	2020	0	uBMS
Apatura ilia	Glo	2021	0	uBMS
Apatura ilia	Glo	2022	0	uBMS
Apatura ilia	Rob	2023	0	uBMS
Apatura ilia	Rob	2024	0	uBMS
Apatura ilia	Rob	2018	0	uBMS
Apatura ilia	Rob	2025	0	uBMS
Apatura ilia	Rob	2020	0	uBMS
Apatura ilia	Rob	2021	0	uBMS
Apatura ilia	Rob	2022	0	uBMS
Apatura ilia	Coll	2023	0	uBMS
Apatura ilia	Coll	2024	0	uBMS
Apatura ilia	Coll	2018	0	uBMS
Apatura ilia	Coll	2025	0	uBMS
Apatura ilia	Coll	2019	0	uBMS
Apatura ilia	Coll	2020	0	uBMS
Apatura ilia	Coll	2022	0	uBMS
Apatura ilia	Car	2023	0	uBMS
Apatura ilia	Car	2024	0	uBMS
Apatura ilia	Car	2018	0	uBMS
Apatura ilia	Car	2025	0	uBMS
Apatura ilia	Car	2019	0	uBMS
Apatura ilia	Car	2020	0	uBMS
Apatura ilia	Car	2021	0	uBMS
Apatura ilia	Car	2022	0	uBMS
Apatura ilia	Peg	2023	0	uBMS
Apatura ilia	Peg	2024	0	uBMS
Apatura ilia	Peg	2018	0	uBMS
Apatura ilia	Peg	2025	0	uBMS
Apatura ilia	Peg	2019	0	uBMS
Apatura ilia	Peg	2020	0	uBMS
Apatura ilia	Peg	2021	0	uBMS
Apatura ilia	Peg	2022	0	uBMS
Apatura ilia	Cer	2023	0	uBMS
Apatura ilia	Cer	2024	0	uBMS
Apatura ilia	Cer	2018	0	uBMS
Apatura ilia	Cer	2025	0	uBMS
Apatura ilia	Cer	2019	0	uBMS
Apatura ilia	Cer	2020	0	uBMS
Apatura ilia	Cer	2022	0	uBMS
Apatura ilia	Nord	2023	0	uBMS
Apatura ilia	Nord	2024	0	uBMS
Apatura ilia	Nord	2018	0	uBMS
Apatura ilia	Nord	2025	0	uBMS
Apatura ilia	Nord	2019	0	uBMS
Apatura ilia	Nord	2020	0	uBMS
Apatura ilia	Nord	2021	0	uBMS
Apatura ilia	Nord	2022	0	uBMS
Apatura ilia	Ped	2023	0	uBMS
Apatura ilia	Ped	2024	0	uBMS
Apatura ilia	Ped	2018	0	uBMS
Apatura ilia	Ped	2025	0	uBMS
Apatura ilia	Ped	2019	0	uBMS
Apatura ilia	Ped	2020	0	uBMS
Apatura ilia	Ped	2022	0	uBMS
Apatura ilia	Gau	2023	0	uBMS
Apatura ilia	Gau	2024	0	uBMS
Apatura ilia	Gau	2018	0	uBMS
Apatura ilia	Gau	2025	0	uBMS
Apatura ilia	Gau	2019	0	uBMS
Apatura ilia	Gau	2020	0	uBMS
Apatura ilia	Gau	2021	0	uBMS
Apatura ilia	Gau	2022	0	uBMS
Apatura ilia	Nou	2023	1.379870529	uBMS
Apatura ilia	Nou	2024	0	uBMS
Apatura ilia	Nou	2018	0	uBMS
Apatura ilia	Nou	2025	0	uBMS
Apatura ilia	Nou	2019	0	uBMS
Apatura ilia	Nou	2020	0	uBMS
Apatura ilia	Nou	2021	0	uBMS
Apatura ilia	Nou	2022	0	uBMS
Apatura ilia	Bros	2023	0	uBMS
Apatura ilia	Bros	2024	0	uBMS
Apatura ilia	Bros	2018	0	uBMS
Apatura ilia	Bros	2019	0	uBMS
Apatura ilia	Bros	2020	0	uBMS
Apatura ilia	Bros	2021	0	uBMS
Apatura ilia	Bros	2022	0	uBMS
Apatura ilia	Gue	2023	0	uBMS
Apatura ilia	Gue	2024	0	uBMS
Apatura ilia	Gue	2018	0	uBMS
Apatura ilia	Gue	2019	0	uBMS
Apatura ilia	Gue	2020	0	uBMS
Apatura ilia	Gue	2021	0	uBMS
Apatura ilia	Gue	2022	0	uBMS
Apatura ilia	Dia	2023	0	uBMS
Apatura ilia	Dia	2024	0	uBMS
Apatura ilia	Dia	2018	0	uBMS
Apatura ilia	Dia	2019	0	uBMS
Apatura ilia	Dia	2020	0	uBMS
Apatura ilia	Dia	2021	0	uBMS
Apatura ilia	Dia	2022	0	uBMS
Apatura ilia	Pei	2023	0	uBMS
Apatura ilia	Pei	2024	0	uBMS
Apatura ilia	Pei	2018	0	uBMS
Apatura ilia	Pei	2019	0	uBMS
Apatura ilia	Pei	2020	0	uBMS
Apatura ilia	Pei	2021	0	uBMS
Apatura ilia	Mar	2023	0	uBMS
Apatura ilia	Mar	2024	0	uBMS
Apatura ilia	Mar	2018	0	uBMS
Apatura ilia	Mar	2019	0	uBMS
Apatura ilia	Mar	2020	0	uBMS
Apatura ilia	Mar	2021	0	uBMS
Apatura ilia	Mar	2022	0	uBMS
Apatura ilia	Gui	2023	0	uBMS
Apatura ilia	Gui	2024	0	uBMS
Apatura ilia	Gui	2018	0	uBMS
Apatura ilia	Gui	2025	0	uBMS
Apatura ilia	Gui	2019	0	uBMS
Apatura ilia	Gui	2020	0	uBMS
Apatura ilia	Gui	2021	0	uBMS
Apatura ilia	Gui	2022	0	uBMS
Apatura ilia	Bes	2023	0	uBMS
Apatura ilia	Bes	2024	0	uBMS
Apatura ilia	Bes	2018	0	uBMS
Apatura ilia	Bes	2025	0	uBMS
Apatura ilia	Bes	2019	0	uBMS
Apatura ilia	Bes	2020	0	uBMS
Apatura ilia	Bes	2021	0	uBMS
Apatura ilia	Aig	2023	0	uBMS
Apatura ilia	Aig	2018	0	uBMS
Apatura ilia	Aig	2019	0	uBMS
Apatura ilia	Aig	2020	0	uBMS
Apatura ilia	Aig	2021	0	uBMS
Apatura ilia	Aig	2022	0	uBMS
Apatura ilia	Tpa	2023	0	uBMS
Apatura ilia	Tpa	2022	0	uBMS
Apatura ilia	Tri	2023	0	uBMS
Apatura ilia	Tri	2019	2.856626824	uBMS
Apatura ilia	Tri	2020	2.856626824	uBMS
Apatura ilia	Tri	2021	1.379870529	uBMS
Apatura ilia	Tri	2022	2.856626824	uBMS
Aricia cramera	Clot	2023	0	uBMS
Aricia cramera	Clot	2024	0	uBMS
Aricia cramera	Clot	2018	0	uBMS
Aricia cramera	Clot	2025	0	uBMS
Aricia cramera	Clot	2019	0	uBMS
Aricia cramera	Clot	2020	0	uBMS
Aricia cramera	Clot	2021	0	uBMS
Aricia cramera	Clot	2022	0	uBMS
Aricia cramera	Heb	2023	0	uBMS
Aricia cramera	Heb	2024	0	uBMS
Aricia cramera	Heb	2018	0	uBMS
Aricia cramera	Heb	2019	0	uBMS
Aricia cramera	Heb	2020	0	uBMS
Aricia cramera	Heb	2021	0	uBMS
Aricia cramera	Heb	2022	0	uBMS
Aricia cramera	Put	2023	0	uBMS
Aricia cramera	Put	2024	0	uBMS
Aricia cramera	Put	2025	0	uBMS
Aricia cramera	Put	2019	0	uBMS
Aricia cramera	Put	2020	0	uBMS
Aricia cramera	Put	2021	0	uBMS
Aricia cramera	Put	2022	0	uBMS
Aricia cramera	Heu	2023	3.371430498	uBMS
Aricia cramera	Heu	2024	0	uBMS
Aricia cramera	Heu	2018	0	uBMS
Aricia cramera	Heu	2025	0	uBMS
Aricia cramera	Heu	2019	0	uBMS
Aricia cramera	Heu	2020	0	uBMS
Aricia cramera	Heu	2021	0	uBMS
Aricia cramera	Heu	2022	0	uBMS
Aricia cramera	Lab	2023	0	uBMS
Aricia cramera	Lab	2024	0	uBMS
Aricia cramera	Lab	2018	0	uBMS
Aricia cramera	Lab	2025	0	uBMS
Aricia cramera	Lab	2020	0	uBMS
Aricia cramera	Lab	2022	3.394025342	uBMS
Aricia cramera	Mat	2023	0	uBMS
Aricia cramera	Mat	2024	0	uBMS
Aricia cramera	Mat	2018	2.421714133	uBMS
Aricia cramera	Mat	2025	0	uBMS
Aricia cramera	Mat	2019	1.660357309	uBMS
Aricia cramera	Mat	2020	0	uBMS
Aricia cramera	Mat	2021	0	uBMS
Aricia cramera	Mat	2022	0	uBMS
Aricia cramera	Ore	2023	4.076197723	uBMS
Aricia cramera	Ore	2024	1.610928539	uBMS
Aricia cramera	Ore	2018	0	uBMS
Aricia cramera	Ore	2020	10.4242677	uBMS
Aricia cramera	Ore	2021	0	uBMS
Aricia cramera	Ore	2022	0	uBMS
Aricia cramera	Pla	2023	3.302946228	uBMS
Aricia cramera	Pla	2024	6.325510785	uBMS
Aricia cramera	Pla	2025	0	uBMS
Aricia cramera	Pla	2020	2.43741926	uBMS
Aricia cramera	Pla	2021	0	uBMS
Aricia cramera	Pla	2022	0	uBMS
Aricia cramera	Ciu	2023	0	uBMS
Aricia cramera	Ciu	2024	0	uBMS
Aricia cramera	Ciu	2018	5.338647761	uBMS
Aricia cramera	Ciu	2025	0	uBMS
Aricia cramera	Ciu	2019	0	uBMS
Aricia cramera	Ciu	2020	0	uBMS
Aricia cramera	Ciu	2021	0	uBMS
Aricia cramera	Ciu	2022	2.421714133	uBMS
Aricia cramera	Glo	2023	0	uBMS
Aricia cramera	Glo	2024	0	uBMS
Aricia cramera	Glo	2025	0	uBMS
Aricia cramera	Glo	2020	0	uBMS
Aricia cramera	Glo	2021	0	uBMS
Aricia cramera	Glo	2022	0	uBMS
Aricia cramera	Rob	2023	0	uBMS
Aricia cramera	Rob	2024	0	uBMS
Aricia cramera	Rob	2018	0	uBMS
Aricia cramera	Rob	2025	0	uBMS
Aricia cramera	Rob	2020	0	uBMS
Aricia cramera	Rob	2021	2.421714133	uBMS
Aricia cramera	Rob	2022	0	uBMS
Aricia cramera	Coll	2023	0	uBMS
Aricia cramera	Coll	2024	1.467846816	uBMS
Aricia cramera	Coll	2018	0	uBMS
Aricia cramera	Coll	2025	0	uBMS
Aricia cramera	Coll	2019	0	uBMS
Aricia cramera	Coll	2020	2.421714133	uBMS
Aricia cramera	Coll	2022	0	uBMS
Aricia cramera	Car	2023	0	uBMS
Aricia cramera	Car	2024	4.257493188	uBMS
Aricia cramera	Car	2018	3.394025342	uBMS
Aricia cramera	Car	2025	0	uBMS
Aricia cramera	Car	2019	1.728518832	uBMS
Aricia cramera	Car	2020	0	uBMS
Aricia cramera	Car	2021	0	uBMS
Aricia cramera	Car	2022	0	uBMS
Aricia cramera	Peg	2023	0	uBMS
Aricia cramera	Peg	2024	0	uBMS
Aricia cramera	Peg	2018	0	uBMS
Aricia cramera	Peg	2025	0	uBMS
Aricia cramera	Peg	2019	4.493372276	uBMS
Aricia cramera	Peg	2020	0	uBMS
Aricia cramera	Peg	2021	0	uBMS
Aricia cramera	Peg	2022	0	uBMS
Aricia cramera	Cer	2023	6.203473945	uBMS
Aricia cramera	Cer	2024	0	uBMS
Aricia cramera	Cer	2018	0	uBMS
Aricia cramera	Cer	2025	0	uBMS
Aricia cramera	Cer	2019	0	uBMS
Aricia cramera	Cer	2020	0	uBMS
Aricia cramera	Cer	2022	0	uBMS
Aricia cramera	Nord	2023	0	uBMS
Aricia cramera	Nord	2024	0	uBMS
Aricia cramera	Nord	2018	0	uBMS
Aricia cramera	Nord	2025	0	uBMS
Aricia cramera	Nord	2019	1.783866709	uBMS
Aricia cramera	Nord	2020	0	uBMS
Aricia cramera	Nord	2021	0	uBMS
Aricia cramera	Nord	2022	0	uBMS
Aricia cramera	Ped	2023	0	uBMS
Aricia cramera	Ped	2024	0	uBMS
Aricia cramera	Ped	2018	0	uBMS
Aricia cramera	Ped	2025	0	uBMS
Aricia cramera	Ped	2019	0	uBMS
Aricia cramera	Ped	2020	0	uBMS
Aricia cramera	Ped	2022	0	uBMS
Aricia cramera	Gau	2023	0	uBMS
Aricia cramera	Gau	2024	0	uBMS
Aricia cramera	Gau	2018	0	uBMS
Aricia cramera	Gau	2025	0	uBMS
Aricia cramera	Gau	2019	0	uBMS
Aricia cramera	Gau	2020	0	uBMS
Aricia cramera	Gau	2021	0	uBMS
Aricia cramera	Gau	2022	0	uBMS
Aricia cramera	Nou	2023	0	uBMS
Aricia cramera	Nou	2024	0	uBMS
Aricia cramera	Nou	2018	0	uBMS
Aricia cramera	Nou	2025	0	uBMS
Aricia cramera	Nou	2019	0	uBMS
Aricia cramera	Nou	2020	0	uBMS
Aricia cramera	Nou	2021	0	uBMS
Aricia cramera	Nou	2022	0	uBMS
Aricia cramera	Bros	2023	0	uBMS
Aricia cramera	Bros	2024	0	uBMS
Aricia cramera	Bros	2018	2.421714133	uBMS
Aricia cramera	Bros	2019	0	uBMS
Aricia cramera	Bros	2020	0	uBMS
Aricia cramera	Bros	2021	0	uBMS
Aricia cramera	Bros	2022	0	uBMS
Aricia cramera	Gue	2023	2.804262479	uBMS
Aricia cramera	Gue	2024	1.509821388	uBMS
Aricia cramera	Gue	2018	0	uBMS
Aricia cramera	Gue	2019	0	uBMS
Aricia cramera	Gue	2020	0	uBMS
Aricia cramera	Gue	2021	0	uBMS
Aricia cramera	Gue	2022	0	uBMS
Aricia cramera	Dia	2023	0	uBMS
Aricia cramera	Dia	2024	0	uBMS
Aricia cramera	Dia	2018	0	uBMS
Aricia cramera	Dia	2019	0	uBMS
Aricia cramera	Dia	2020	5.803718249	uBMS
Aricia cramera	Dia	2021	0	uBMS
Aricia cramera	Dia	2022	0	uBMS
Aricia cramera	Pei	2023	0	uBMS
Aricia cramera	Pei	2024	0	uBMS
Aricia cramera	Pei	2018	0	uBMS
Aricia cramera	Pei	2019	0	uBMS
Aricia cramera	Pei	2020	0	uBMS
Aricia cramera	Pei	2021	0	uBMS
Aricia cramera	Mar	2023	0	uBMS
Aricia cramera	Mar	2024	2.551020408	uBMS
Aricia cramera	Mar	2018	2.421714133	uBMS
Aricia cramera	Mar	2019	7.585181589	uBMS
Aricia cramera	Mar	2020	0	uBMS
Aricia cramera	Mar	2021	0	uBMS
Aricia cramera	Mar	2022	2.421714133	uBMS
Aricia cramera	Gui	2023	1.259810776	uBMS
Aricia cramera	Gui	2024	1.846790278	uBMS
Aricia cramera	Gui	2018	0	uBMS
Aricia cramera	Gui	2025	0	uBMS
Aricia cramera	Gui	2019	24.37241043	uBMS
Aricia cramera	Gui	2020	8.179122789	uBMS
Aricia cramera	Gui	2021	0	uBMS
Aricia cramera	Gui	2022	0	uBMS
Aricia cramera	Bes	2023	0	uBMS
Aricia cramera	Bes	2024	0	uBMS
Aricia cramera	Bes	2018	0	uBMS
Aricia cramera	Bes	2025	0	uBMS
Aricia cramera	Bes	2019	0	uBMS
Aricia cramera	Bes	2020	0	uBMS
Aricia cramera	Bes	2021	0	uBMS
Aricia cramera	Aig	2023	1.294046094	uBMS
Aricia cramera	Aig	2018	0	uBMS
Aricia cramera	Aig	2019	0	uBMS
Aricia cramera	Aig	2020	0	uBMS
Aricia cramera	Aig	2021	0	uBMS
Aricia cramera	Aig	2022	0	uBMS
Aricia cramera	Tpa	2023	0	uBMS
Aricia cramera	Tpa	2022	0	uBMS
Aricia cramera	Tri	2023	19.07017826	uBMS
Aricia cramera	Tri	2019	5.725409367	uBMS
Aricia cramera	Tri	2020	12.49063203	uBMS
